City,Doctor,E X A M   T Y P E,Metric Selection - Clinical Products - Prefix,Metric Selection - Clinical Products - Sufix,Performer Type,State,Store,Brand,Company Category,Current Period - Filter,Arrived Date,cities,Last Update,Prescribed and Sold (Units) - MacuHealth,PrescribedMacuHealth,UnitsMacuHealth
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,147 - Water Minerslettuce,Eye You Care,Corporate,True,3/28/2023 9:07:58 AM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Salvador,Dr. Marcelo Ferreira,Examination,$,,Remote,Bahia,82 - Nemopanthus,Eye You Care,Corporate,True,3/28/2023 12:11:22 PM,Salvador - Bahia,"28 March, 2023",0,0,0
Vitória,Dr. Michael Araujo,Examination,$,,Remote,Espírito Santo,176 - Snakewood,Eye You Care,Corporate,True,3/27/2023 9:58:16 AM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Fernanda Souza,Contact Lens Exam,$,,Remote,Minas Gerais,25 - Hornbeam,Eye You Care,Corporate,True,3/28/2023 11:17:22 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,53 - Dixie Iris,Eye You Care,Corporate,True,3/27/2023 12:26:31 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Brasília,Dra. Fernanda Souza,Contact Lens Exam,$,,Remote,Distrito Federal,102 - California Sweetgrass,Eye You Care,Corporate,True,3/27/2023 6:37:23 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Londrina,Dra. Júlia Guimarães,Examination,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/28/2023 1:38:26 PM,Londrina - Paraná,"28 March, 2023",0,0,0
Salvador,Dr. Marcelo Ferreira,Examination,$,,Remote,Bahia,179 - Oxeye Daisy,Eye You Care,Corporate,True,3/28/2023 11:42:09 AM,Salvador - Bahia,"28 March, 2023",0,0,0
Rio de Janeiro,Dr. Michael Araujo,Examination,$,,Remote,Rio de Janeiro,95 - Sterculia,Eye You Care,Corporate,True,3/28/2023 1:29:06 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Santa Catarina,70 - Hedgehog Gourd,Eye You Care,Corporate,True,3/27/2023 5:07:02 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Fernanda Souza,Contact Lens Exam,$,,Remote,Minas Gerais,33 - Valenzuela's Ramonia,Eye You Care,Corporate,True,3/28/2023 3:06:20 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Rio de Janeiro,Dr. Michael Araujo,Examination,$,,Remote,Rio de Janeiro,255 - Broadbeaked Mustard,Eye You Care,Corporate,True,3/27/2023 9:07:45 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,São Paulo,44 - Meiwa Kumquat,Eye You Care,Corporate,True,3/28/2023 10:09:24 AM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,São Paulo,142 - Waianae Range Melicope,Eye You Care,Corporate,True,3/28/2023 6:59:24 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Tiago Martins,Examination,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/26/2023 3:58:09 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Londrina,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/27/2023 6:12:28 PM,Londrina - Paraná,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Gabriel Costa,Examination,$,,Remote,Minas Gerais,34 - Triangle Bur Ragweed,Eye You Care,Corporate,True,3/27/2023 6:19:27 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,142 - Waianae Range Melicope,Eye You Care,Corporate,True,3/28/2023 3:01:59 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,11 - Hairy Ceanothus,Eye You Care,Corporate,True,3/28/2023 5:05:53 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/27/2023 2:47:55 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,Minas Gerais,34 - Triangle Bur Ragweed,Eye You Care,Corporate,True,3/27/2023 11:56:06 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,Distrito Federal,16 - Great Lakes Dewberry,Eye You Care,Corporate,True,3/28/2023 11:59:50 AM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Brasília,Dra. Fernanda Souza,Contact Lens Exam,$,,Remote,Distrito Federal,47 - Caribbean Shrubverbena,Eye You Care,Corporate,True,3/28/2023 6:39:00 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Santa Catarina,70 - Hedgehog Gourd,Eye You Care,Corporate,True,3/27/2023 11:55:24 AM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,205 - Reverchon's Palafox,Eye You Care,Corporate,True,3/28/2023 11:12:38 AM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Fernanda Souza,Contact Lens Exam,$,,Remote,Minas Gerais,25 - Hornbeam,Eye You Care,Corporate,True,3/27/2023 3:07:00 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Minas Gerais,81 - Sand Palafox,Eye You Care,Corporate,True,3/28/2023 3:14:28 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,1
Belo Horizonte,Dra. Camila Silva,Examination,$,,Remote,Minas Gerais,196 - Hawai'i Morning-glory,Eye You Care,Corporate,True,3/27/2023 11:17:34 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,1
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,147 - Water Minerslettuce,Eye You Care,Corporate,True,3/27/2023 11:07:57 AM,Fortaleza - Ceará,"28 March, 2023",0,0,1
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,137 - Pacific Rhododendron,Eye You Care,Corporate,True,3/28/2023 4:00:23 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,1
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,168 - Tornillo,Eye You Care,Corporate,True,3/27/2023 5:01:24 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,1
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,36 - Moco De Pavo,Eye You Care,Corporate,True,3/27/2023 11:48:43 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,2
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,271 - Florida Star Orchid,Eye You Care,Corporate,True,3/28/2023 3:06:12 PM,Fortaleza - Ceará,"28 March, 2023",0,0,2
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,92 - Isle Royale Ragwort,Eye You Care,Corporate,True,3/28/2023 3:40:02 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,2
Palmas,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Tocantins,287 - Menzies' Spirea,Eye You Care,Corporate,True,3/27/2023 6:31:26 PM,Palmas - Tocantins,"28 March, 2023",0,0,2
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,48 - Hawthorn,Eye You Care,Corporate,True,3/28/2023 2:37:29 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,2
São José do Rio Preto,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/28/2023 2:18:29 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,271 - Florida Star Orchid,Eye You Care,Corporate,True,3/28/2023 3:23:22 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/27/2023 6:58:04 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,2
São José do Rio Preto,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/27/2023 10:42:44 AM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,190 - Prickless Dewberry,Eye You Care,Corporate,True,3/27/2023 9:18:07 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Examination,$,,Remote,Santa Catarina,258 - Three Toothed Saxifrage,Eye You Care,Corporate,True,3/27/2023 3:17:11 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,1
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,259 - Geyer's Onion,Eye You Care,Corporate,True,3/28/2023 5:16:21 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,1
Vitória,Dra. Júlia Guimarães,Examination Recheck,$,,Remote,Espírito Santo,88 - Point Reyes Ceanothus,Eye You Care,Corporate,True,3/27/2023 2:26:23 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Palmas,Dr. Bruno Rodrigues,Examination,$,,Remote,Tocantins,287 - Menzies' Spirea,Eye You Care,Corporate,True,3/27/2023 11:52:29 AM,Palmas - Tocantins,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Office Visit,$,,Onsite,Distrito Federal,259 - Geyer's Onion,Eye You Care,Corporate,True,3/27/2023 4:22:43 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Mariana Gomes,Examination,$,,Onsite,Minas Gerais,189 - Philonotis Moss,Eye You Care,Corporate,True,3/28/2023 1:24:57 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Recife,Dr. Michael Araujo,Contact Lens Exam,$,,Remote,Pernambuco,62 - Ebony Coccuswood,Eye You Care,Corporate,True,3/28/2023 9:18:13 AM,Recife - Pernambuco,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,148 - Fivepetal Cliffbush,Eye You Care,Corporate,True,3/28/2023 5:57:29 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Recife,Dra. Júlia Guimarães,Examination,$,,Remote,Pernambuco,62 - Ebony Coccuswood,Eye You Care,Corporate,True,3/27/2023 11:02:47 AM,Recife - Pernambuco,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,95 - Sterculia,Eye You Care,Corporate,True,3/27/2023 1:29:16 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,100 - California Compassplant,Eye You Care,Corporate,True,3/27/2023 3:44:41 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Brasília,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Distrito Federal,252 - Japanese Meadowsweet,Eye You Care,Corporate,True,3/27/2023 6:26:56 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Rio de Janeiro,Dr. Michael Araujo,Contact Lens Exam,$,,Remote,Rio de Janeiro,255 - Broadbeaked Mustard,Eye You Care,Corporate,True,3/26/2023 12:02:47 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Gustavo Souza,Examination,$,,Remote,Minas Gerais,189 - Philonotis Moss,Eye You Care,Corporate,True,3/26/2023 1:12:35 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Tiago Martins,Examination,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/26/2023 1:06:48 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Tiago Martins,Examination,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/26/2023 1:06:55 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,1
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,11 - Hairy Ceanothus,Eye You Care,Corporate,True,3/27/2023 2:31:46 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,1
Belo Horizonte,Dr. Gustavo Souza,Contact Lens Exam,$,,Remote,Minas Gerais,6 - Forest Clermontia,Eye You Care,Corporate,True,3/26/2023 3:42:21 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,1
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,100 - California Compassplant,Eye You Care,Corporate,True,3/27/2023 2:22:02 PM,Fortaleza - Ceará,"28 March, 2023",0,0,1
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,276 - Sand Buckwheat,Eye You Care,Corporate,True,3/28/2023 6:12:01 PM,Fortaleza - Ceará,"28 March, 2023",0,0,2
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,276 - Sand Buckwheat,Eye You Care,Corporate,True,3/28/2023 3:15:32 PM,Fortaleza - Ceará,"28 March, 2023",0,0,2
Brasília,Dra. Fernanda Souza,Examination,$,,Remote,Distrito Federal,30 - Aspen Fleabane,Eye You Care,Corporate,True,3/27/2023 11:48:29 AM,Brasília - Distrito Federal,"28 March, 2023",0,0,2
São José do Rio Preto,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,São Paulo,44 - Meiwa Kumquat,Eye You Care,Corporate,True,3/27/2023 11:37:16 AM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,2
Belo Horizonte,Dra. Camila Silva,Examination,$,,Remote,Minas Gerais,210 - Bush Muhly,Eye You Care,Corporate,True,3/28/2023 4:24:01 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,2
Salvador,Dr. Marcelo Ferreira,Examination,$,,Remote,Bahia,179 - Oxeye Daisy,Eye You Care,Corporate,True,3/27/2023 2:16:44 PM,Salvador - Bahia,"28 March, 2023",0,0,0
Salvador,Dr. Marcelo Ferreira,Examination,$,,Remote,Bahia,82 - Nemopanthus,Eye You Care,Corporate,True,3/27/2023 2:35:11 PM,Salvador - Bahia,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,75 - Smallflower Desert-chicory,Eye You Care,Corporate,True,3/27/2023 6:18:43 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Salvador,Dr. Marcelo Ferreira,Contact Lens Exam,$,,Remote,Bahia,82 - Nemopanthus,Eye You Care,Corporate,True,3/27/2023 4:13:08 PM,Salvador - Bahia,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Gustavo Souza,Examination,$,,Remote,Minas Gerais,84 - Wreath Lichen,Eye You Care,Corporate,True,3/27/2023 3:55:43 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Minas Gerais,6 - Forest Clermontia,Eye You Care,Corporate,True,3/27/2023 5:01:38 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Recife,Dra. Júlia Guimarães,Examination,$,,Remote,Pernambuco,74 - Texan Hogplum,Eye You Care,Corporate,True,3/27/2023 9:06:48 AM,Recife - Pernambuco,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,259 - Geyer's Onion,Eye You Care,Corporate,True,3/27/2023 3:00:57 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,1
Recife,Dr. Michael Araujo,Examination,$,,Remote,Pernambuco,62 - Ebony Coccuswood,Eye You Care,Corporate,True,3/28/2023 10:43:14 AM,Recife - Pernambuco,"28 March, 2023",0,0,2
Vitória,Dra. Júlia Guimarães,Examination,$,,Remote,Espírito Santo,212 - Wailupe Valley Treecotton,Eye You Care,Corporate,True,3/27/2023 11:45:07 AM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Vitória,Dra. Júlia Guimarães,Examination,$,,Remote,Espírito Santo,173 - Pohlia Moss,Eye You Care,Corporate,True,3/27/2023 10:34:43 AM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Brasília,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Distrito Federal,259 - Geyer's Onion,Eye You Care,Corporate,True,3/26/2023 1:18:27 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Vitória,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Espírito Santo,173 - Pohlia Moss,Eye You Care,Corporate,True,3/28/2023 5:40:45 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,17 - Kohlmeyera Lichen,Eye You Care,Corporate,True,3/27/2023 11:59:06 AM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Examination,$,,Remote,Santa Catarina,253 - Sage,Eye You Care,Corporate,True,3/27/2023 9:50:11 AM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,Distrito Federal,233 - Rugose Lecidea Lichen,Eye You Care,Corporate,True,3/27/2023 1:49:15 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,1
Londrina,Dra. Júlia Guimarães,Examination,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/27/2023 11:02:26 AM,Londrina - Paraná,"28 March, 2023",0,0,1
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,124 - Sacramento Mountain Thistle,Eye You Care,Corporate,True,3/28/2023 3:14:05 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,2
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,17 - Kohlmeyera Lichen,Eye You Care,Corporate,True,3/27/2023 3:35:10 PM,Fortaleza - Ceará,"28 March, 2023",0,0,2
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,36 - Moco De Pavo,Eye You Care,Corporate,True,3/28/2023 11:01:42 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Vitória,Dra. Júlia Guimarães,Examination,$,,Remote,Espírito Santo,88 - Point Reyes Ceanothus,Eye You Care,Corporate,True,3/28/2023 2:30:28 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Bruno Rodrigues,Examination,$,,Remote,Minas Gerais,143 - Dwarf Butterfly Orchid,Eye You Care,Corporate,True,3/28/2023 11:19:39 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,218 - Rockcastle Aster,Eye You Care,Corporate,True,3/28/2023 12:07:56 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Examination,$,,Remote,Santa Catarina,253 - Sage,Eye You Care,Corporate,True,3/27/2023 7:03:58 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,148 - Fivepetal Cliffbush,Eye You Care,Corporate,True,3/27/2023 6:54:12 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,92 - Isle Royale Ragwort,Eye You Care,Corporate,True,3/27/2023 5:22:21 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Onsite,Distrito Federal,102 - California Sweetgrass,Eye You Care,Corporate,True,3/28/2023 6:45:30 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Mariana Gomes,Examination,$,,Onsite,Minas Gerais,189 - Philonotis Moss,Eye You Care,Corporate,True,3/28/2023 2:10:48 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Gustavo Souza,Contact Lens Exam,$,,Remote,Minas Gerais,84 - Wreath Lichen,Eye You Care,Corporate,True,3/28/2023 12:32:41 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,Distrito Federal,124 - Sacramento Mountain Thistle,Eye You Care,Corporate,True,3/28/2023 11:03:06 AM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Santa Catarina,253 - Sage,Eye You Care,Corporate,True,3/27/2023 9:18:42 AM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,148 - Fivepetal Cliffbush,Eye You Care,Corporate,True,3/27/2023 10:30:29 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Camila Silva,Examination,$,,Remote,Minas Gerais,210 - Bush Muhly,Eye You Care,Corporate,True,3/27/2023 12:39:59 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,168 - Tornillo,Eye You Care,Corporate,True,3/28/2023 4:33:24 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Londrina,Dra. Júlia Guimarães,Examination,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/28/2023 9:58:48 AM,Londrina - Paraná,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,48 - Hawthorn,Eye You Care,Corporate,True,3/28/2023 12:18:11 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,95 - Sterculia,Eye You Care,Corporate,True,3/27/2023 4:44:20 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Salvador,Dr. Marcelo Ferreira,Examination,$,,Remote,Bahia,179 - Oxeye Daisy,Eye You Care,Corporate,True,3/28/2023 5:12:01 PM,Salvador - Bahia,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/27/2023 10:56:40 AM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,92 - Isle Royale Ragwort,Eye You Care,Corporate,True,3/27/2023 4:20:05 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
